Adjusted for Inflation Title,Format,Metric,Year,Value (Actual),Adjusted for Inflation Flag,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Zero
"Adjusted for Inflation, 2023 Dollars",Cassette Single,Value (Adjusted),2002,-2.7," (adjusted for inflation, 2023 dollars)",,-$2.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2001,10.3," (adjusted for inflation, 2023 dollars)",,$10.3M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2002,14.4," (adjusted for inflation, 2023 dollars)",,$14.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2003,13.2," (adjusted for inflation, 2023 dollars)",,$13.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2004,10.5," (adjusted for inflation, 2023 dollars)",,$10.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2005,17.5," (adjusted for inflation, 2023 dollars)",,$17.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2006,3.6," (adjusted for inflation, 2023 dollars)",,$3.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2007,4.1," (adjusted for inflation, 2023 dollars)",,$4.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2008,1.7," (adjusted for inflation, 2023 dollars)",,$1.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2009,2.3," (adjusted for inflation, 2023 dollars)",,$2.3M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2010,1.3," (adjusted for inflation, 2023 dollars)",,$1.3M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2011,0.4," (adjusted for inflation, 2023 dollars)",,$0.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2012,0.2," (adjusted for inflation, 2023 dollars)",,$0.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2013,-0.6," (adjusted for inflation, 2023 dollars)",,-$0.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2014,2.8," (adjusted for inflation, 2023 dollars)",,$2.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",DVD Audio,Value (Adjusted),2015,7," (adjusted for inflation, 2023 dollars)",,$7.0M,$819.6B,,$819604.4B,0
